# pixel vinkelx vinkely
1043 0.062915 0.000331
1044 0.063235 0.000331
1045 0.063555 0.000331
1046 0.063875 0.000331
1047 0.064195 0.000331
1048 0.064515 0.000331
1049 0.064835 0.000331
1050 0.065155 0.000331
1051 0.065475 0.000331
1052 0.065795 0.000331
1053 0.066115 0.000331
1054 0.066435 0.000331
1055 0.066755 0.000331
1056 0.067075 0.000331
1057 0.067394 0.000331
1058 0.067714 0.000331
1059 0.068034 0.000331
1060 0.068353 0.000331
1061 0.068673 0.000331
1062 0.068992 0.000331
1063 0.069312 0.000331
1064 0.069631 0.000331
1065 0.069951 0.000331
1066 0.070270 0.000331
1067 0.070590 0.000331
1068 0.070909 0.000331
1069 0.071228 0.000331
1070 0.071548 0.000331
1071 0.071867 0.000331
1072 0.072186 0.000331
1073 0.072505 0.000331
1074 0.072825 0.000331
1075 0.073144 0.000331
1076 0.073463 0.000331
1077 0.073782 0.000331
1078 0.074101 0.000331
1079 0.074420 0.000331
